<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;240222;000000;186.58;187.54;89.59;132.18;828329350
SBER;D;250222;000000;123.75;152.89;115.11;131.12;396287150
SBER;D;240322;000000;131;156.2;130.15;136.24;153705270
SBER;D;250322;000000;137.1;147;128.2;131.5;57307510
SBER;D;280322;000000;130.6;131.47;125;125;32756540
SBER;D;290322;000000;126.19;137.57;122;128.77;72242360
SBER;D;300322;000000;136.5;138.4;131.11;134.6;35411460
SBER;D;310322;000000;135.2;147.41;134.52;143.69;118239240
SBER;D;010422;000000;144.99;155.4;144.51;154.5;118603620
SBER;D;040422;000000;158.76;166.88;150.2;166;115516920
SBER;D;050422;000000;169.83;169.9;147.76;154.1;130008010
SBER;D;060422;000000;143.52;153.3;140.65;141.6;108343440
SBER;D;070422;000000;143.2;149.9;142.5;147.5;58520280
SBER;D;080422;000000;149.01;151;141.06;143.72;48314240
SBER;D;110422;000000;144.12;146.98;138.5;138.69;47482340
SBER;D;120422;000000;138.84;140.1;130.35;135.38;75342120
SBER;D;130422;000000;136.78;138.14;132.72;135.5;38947640
SBER;D;140422;000000;135.7;135.89;129.05;129.05;44206040
SBER;D;150422;000000;128.55;131.72;125.12;130.88;46693490
SBER;D;180422;000000;131.45;132.68;123.7;123.85;58331430
SBER;D;190422;000000;123.85;123.85;115.36;120.3;79797640
SBER;D;200422;000000;120.9;125.44;117.51;121.5;66509740
SBER;D;210422;000000;121.97;123.05;117.85;118.65;40607300
SBER;D;220422;000000;118.69;122.32;115.55;116.97;57392470
SBER;D;250422;000000;115.95;116.4;111.5;111.9;45714280
SBER;D;260422;000000;112.58;124.92;111.9;122.36;83480680
SBER;D;270422;000000;123.01;131.73;120.6;131.11;115400220
SBER;D;280422;000000;132.14;134.5;123.05;123.85;123344490
SBER;D;290422;000000;123.6;130;122.8;128.8;87296290
SBER;D;040522;000000;129.1;131.5;122.5;123.2;67177440
SBER;D;050522;000000;124.21;125.54;122.75;124.8;42303350
SBER;D;060522;000000;124.74;124.99;121.52;123.1;30558900
SBER;D;110522;000000;123.01;126.05;121.86;123.34;32776680
SBER;D;120522;000000;123.1;123.74;118.05;119.15;30817890
SBER;D;130522;000000;120.45;121.59;118.2;120.2;22762650
SBER;D;160522;000000;120.7;123.5;119.5;123.41;34889180
SBER;D;170522;000000;124.01;127.78;123.65;127.75;41838840
SBER;D;180522;000000;128.2;131.3;125;125.12;55422410
SBER;D;190522;000000;125.31;126.86;123.21;125.6;34146310
SBER;D;200522;000000;126.07;127;121.05;122.2;39225870
SBER;D;230522;000000;121.51;122.5;118.9;119.46;37711030
SBER;D;240522;000000;119.45;125;117.1;123.6;45091260
SBER;D;250522;000000;124.12;125.5;120.5;124.15;53466830
SBER;D;260522;000000;124.81;125.99;122;123;51897210
SBER;D;270522;000000;123.1;123.5;120.9;121.22;32523920
SBER;D;300522;000000;121.6;123;120.21;120.67;24894090
SBER;D;310522;000000;120;120;117.62;118.3;29907440
SBER;D;010622;000000;117.5;122.69;117;121.97;43722390
SBER;D;020622;000000;121.9;122.39;118.5;119;42732340
SBER;D;030622;000000;119.29;120.16;117.18;119.21;34298730
SBER;D;060622;000000;119.36;120.35;118.29;118.78;22191350
SBER;D;070622;000000;118.65;118.9;117.32;118.32;22238300
SBER;D;080622;000000;118.5;122.19;118.4;119.9;41488860
SBER;D;090622;000000;120.06;120.2;117.7;118.2;29343850
SBER;D;100622;000000;118.03;119.55;117.73;118.07;25343510
SBER;D;140622;000000;118.04;119.88;115.8;118.98;37579410
SBER;D;150622;000000;119.4;121.71;118.71;121.14;52145030
SBER;D;160622;000000;121.5;123.73;120.41;123.73;47892000
SBER;D;170622;000000;123.9;125.18;123.11;123.88;36503100
